iri	VeryPositive	Positive	Neutral	Negative	VeryNegative
http://purl.obolibrary.org/obo/DOID_0111664	2.0	5.0	24.0	58.0	11.0
http://purl.obolibrary.org/obo/DOID_885	3.0	6.0	20.0	56.0	15.0
http://purl.obolibrary.org/obo/DOID_885	2.0	12.0	31.0	49.0	7.0
http://purl.obolibrary.org/obo/DOID_885	1.0	2.0	37.0	49.0	10.0
http://purl.obolibrary.org/obo/DOID_10915	1.0	1.0	10.0	49.0	38.0
http://purl.obolibrary.org/obo/DOID_11385	1.0	2.0	15.0	58.0	23.0
http://purl.obolibrary.org/obo/DOID_13938	1.0	4.0	35.0	52.0	8.0
http://purl.obolibrary.org/obo/DOID_0110396	1.0	3.0	21.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_0080316	1.0	0.0	8.0	25.0	65.0
http://purl.obolibrary.org/obo/DOID_0060215	1.0	0.0	7.0	62.0	30.0
http://purl.obolibrary.org/obo/DOID_0060353	1.0	2.0	16.0	53.0	27.0
http://purl.obolibrary.org/obo/DOID_0060353	1.0	3.0	18.0	64.0	14.0
http://purl.obolibrary.org/obo/DOID_0070067	2.0	4.0	20.0	62.0	14.0
http://purl.obolibrary.org/obo/DOID_8670	2.0	8.0	38.0	44.0	9.0
http://purl.obolibrary.org/obo/DOID_7071	3.0	10.0	28.0	49.0	10.0
http://purl.obolibrary.org/obo/DOID_1100	4.0	18.0	40.0	31.0	6.0
http://purl.obolibrary.org/obo/DOID_4050	4.0	10.0	19.0	52.0	14.0
http://purl.obolibrary.org/obo/DOID_0111451	1.0	0.0	11.0	31.0	56.0
http://purl.obolibrary.org/obo/DOID_11077	8.0	22.0	22.0	38.0	10.0
http://purl.obolibrary.org/obo/DOID_11077	9.0	14.0	15.0	41.0	20.0
http://purl.obolibrary.org/obo/DOID_0080067	1.0	1.0	12.0	48.0	38.0
http://purl.obolibrary.org/obo/DOID_0080911	2.0	5.0	26.0	56.0	11.0
http://purl.obolibrary.org/obo/DOID_0040086	5.0	12.0	21.0	48.0	14.0
http://purl.obolibrary.org/obo/DOID_0111033	1.0	2.0	20.0	60.0	16.0
http://purl.obolibrary.org/obo/DOID_0110191	1.0	2.0	12.0	66.0	20.0
http://purl.obolibrary.org/obo/DOID_7233	2.0	5.0	17.0	54.0	22.0
http://purl.obolibrary.org/obo/DOID_0110547	2.0	6.0	18.0	60.0	14.0
http://purl.obolibrary.org/obo/DOID_0050041	1.0	2.0	11.0	61.0	25.0
http://purl.obolibrary.org/obo/DOID_0050041	2.0	1.0	6.0	48.0	43.0
http://purl.obolibrary.org/obo/DOID_1996	2.0	6.0	29.0	53.0	9.0
http://purl.obolibrary.org/obo/DOID_0090138	2.0	4.0	15.0	63.0	16.0
http://purl.obolibrary.org/obo/DOID_1206	1.0	1.0	9.0	40.0	49.0
http://purl.obolibrary.org/obo/DOID_4109	6.0	9.0	15.0	50.0	20.0
http://purl.obolibrary.org/obo/DOID_4109	1.0	2.0	18.0	52.0	28.0
http://purl.obolibrary.org/obo/DOID_7945	1.0	4.0	17.0	57.0	20.0
http://purl.obolibrary.org/obo/DOID_9273	1.0	6.0	35.0	50.0	8.0
http://purl.obolibrary.org/obo/DOID_0080815	5.0	27.0	42.0	22.0	5.0
http://purl.obolibrary.org/obo/DOID_0111396	2.0	4.0	21.0	53.0	20.0
http://purl.obolibrary.org/obo/DOID_7154	1.0	2.0	15.0	59.0	23.0
http://purl.obolibrary.org/obo/DOID_0060129	1.0	4.0	38.0	50.0	7.0
http://purl.obolibrary.org/obo/DOID_0070114	3.0	5.0	14.0	62.0	16.0
http://purl.obolibrary.org/obo/DOID_0110763	2.0	4.0	23.0	60.0	12.0
http://purl.obolibrary.org/obo/DOID_0112005	1.0	2.0	16.0	64.0	18.0
http://purl.obolibrary.org/obo/DOID_0070053	3.0	6.0	16.0	62.0	14.0
http://purl.obolibrary.org/obo/DOID_0110407	1.0	3.0	19.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_9442	1.0	0.0	7.0	26.0	66.0
http://purl.obolibrary.org/obo/DOID_0111187	1.0	1.0	15.0	55.0	28.0
http://purl.obolibrary.org/obo/DOID_0050780	4.0	5.0	8.0	58.0	25.0
http://purl.obolibrary.org/obo/DOID_0050427	2.0	2.0	15.0	62.0	19.0
http://purl.obolibrary.org/obo/DOID_0080973	1.0	0.0	5.0	22.0	71.0
http://purl.obolibrary.org/obo/DOID_0060391	2.0	1.0	11.0	48.0	38.0
http://purl.obolibrary.org/obo/DOID_0112028	1.0	2.0	15.0	58.0	24.0
http://purl.obolibrary.org/obo/DOID_0080292	2.0	3.0	13.0	65.0	17.0
http://purl.obolibrary.org/obo/DOID_4223	1.0	3.0	19.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_0110356	1.0	3.0	21.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_0070002	2.0	3.0	13.0	65.0	17.0
http://purl.obolibrary.org/obo/DOID_0110557	1.0	2.0	21.0	59.0	17.0
http://purl.obolibrary.org/obo/DOID_2146	3.0	6.0	15.0	61.0	15.0
http://purl.obolibrary.org/obo/DOID_6196	2.0	2.0	12.0	59.0	25.0
http://purl.obolibrary.org/obo/DOID_0111901	1.0	2.0	21.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_0111999	1.0	2.0	23.0	63.0	12.0
http://purl.obolibrary.org/obo/DOID_6468	12.0	37.0	20.0	24.0	7.0
http://purl.obolibrary.org/obo/DOID_0060587	3.0	5.0	14.0	61.0	17.0
http://purl.obolibrary.org/obo/DOID_9861	3.0	7.0	21.0	56.0	13.0
http://purl.obolibrary.org/obo/DOID_9584	2.0	1.0	4.0	50.0	43.0
http://purl.obolibrary.org/obo/DOID_9584	1.0	1.0	12.0	54.0	32.0
http://purl.obolibrary.org/obo/DOID_9305	2.0	4.0	23.0	59.0	12.0
http://purl.obolibrary.org/obo/DOID_3709	5.0	18.0	30.0	40.0	8.0
http://purl.obolibrary.org/obo/DOID_0050825	8.0	20.0	23.0	39.0	10.0
http://purl.obolibrary.org/obo/DOID_396	4.0	16.0	28.0	45.0	8.0
http://purl.obolibrary.org/obo/DOID_7787	4.0	16.0	36.0	36.0	8.0
http://purl.obolibrary.org/obo/DOID_0080523	1.0	2.0	15.0	58.0	23.0
http://purl.obolibrary.org/obo/DOID_0111452	3.0	6.0	25.0	55.0	12.0
http://purl.obolibrary.org/obo/DOID_0070140	2.0	4.0	18.0	60.0	16.0
http://purl.obolibrary.org/obo/DOID_3605	4.0	12.0	29.0	45.0	10.0
http://purl.obolibrary.org/obo/DOID_0112201	2.0	3.0	20.0	56.0	18.0
http://purl.obolibrary.org/obo/DOID_8857	2.0	1.0	9.0	48.0	40.0
http://purl.obolibrary.org/obo/DOID_998	1.0	1.0	13.0	58.0	26.0
http://purl.obolibrary.org/obo/DOID_0111765	2.0	2.0	22.0	49.0	24.0
http://purl.obolibrary.org/obo/DOID_0110110	5.0	11.0	20.0	49.0	16.0
http://purl.obolibrary.org/obo/DOID_0060832	1.0	2.0	15.0	59.0	23.0
http://purl.obolibrary.org/obo/DOID_1932	2.0	2.0	11.0	60.0	25.0
http://purl.obolibrary.org/obo/DOID_0110929	1.0	3.0	24.0	60.0	13.0
http://purl.obolibrary.org/obo/DOID_0070238	2.0	6.0	27.0	56.0	9.0
http://purl.obolibrary.org/obo/DOID_6657	2.0	2.0	14.0	54.0	28.0
http://purl.obolibrary.org/obo/DOID_0110768	1.0	3.0	22.0	61.0	12.0
http://purl.obolibrary.org/obo/DOID_0060672	1.0	3.0	21.0	56.0	19.0
http://purl.obolibrary.org/obo/DOID_5418	1.0	1.0	18.0	58.0	21.0
http://purl.obolibrary.org/obo/DOID_0080765	2.0	3.0	11.0	65.0	20.0
http://purl.obolibrary.org/obo/DOID_11830	2.0	3.0	16.0	57.0	21.0
http://purl.obolibrary.org/obo/DOID_0110610	1.0	2.0	14.0	57.0	26.0
http://purl.obolibrary.org/obo/DOID_0060506	2.0	5.0	26.0	58.0	10.0
http://purl.obolibrary.org/obo/DOID_0111435	1.0	2.0	18.0	63.0	16.0
http://purl.obolibrary.org/obo/DOID_3125	4.0	12.0	28.0	47.0	9.0
http://purl.obolibrary.org/obo/DOID_0080490	6.0	15.0	18.0	49.0	12.0
http://purl.obolibrary.org/obo/DOID_0110419	1.0	3.0	21.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_0111086	1.0	3.0	22.0	60.0	13.0
http://purl.obolibrary.org/obo/DOID_0110398	1.0	3.0	21.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_9375	1.0	1.0	14.0	46.0	39.0
http://purl.obolibrary.org/obo/DOID_407	2.0	4.0	19.0	60.0	15.0
http://purl.obolibrary.org/obo/DOID_407	1.0	1.0	14.0	61.0	23.0
http://purl.obolibrary.org/obo/DOID_5325	1.0	1.0	12.0	57.0	29.0
http://purl.obolibrary.org/obo/DOID_5293	2.0	2.0	14.0	61.0	22.0
http://purl.obolibrary.org/obo/DOID_2789	4.0	4.0	12.0	57.0	23.0
http://purl.obolibrary.org/obo/DOID_0110223	3.0	5.0	14.0	61.0	17.0
http://purl.obolibrary.org/obo/DOID_688	2.0	13.0	67.0	16.0	2.0
http://purl.obolibrary.org/obo/DOID_0111887	2.0	4.0	13.0	64.0	17.0
http://purl.obolibrary.org/obo/DOID_12118	3.0	7.0	20.0	59.0	12.0
http://purl.obolibrary.org/obo/DOID_12118	3.0	2.0	7.0	56.0	32.0
http://purl.obolibrary.org/obo/DOID_12118	24.0	48.0	13.0	10.0	4.0
http://purl.obolibrary.org/obo/DOID_12118	1.0	1.0	19.0	63.0	16.0
http://purl.obolibrary.org/obo/DOID_0080458	1.0	2.0	16.0	54.0	28.0
http://purl.obolibrary.org/obo/DOID_0112263	1.0	1.0	13.0	47.0	37.0
http://purl.obolibrary.org/obo/DOID_0110595	2.0	2.0	10.0	49.0	38.0
http://purl.obolibrary.org/obo/DOID_262	2.0	8.0	34.0	48.0	8.0
http://purl.obolibrary.org/obo/DOID_397	2.0	2.0	12.0	60.0	24.0
http://purl.obolibrary.org/obo/DOID_0110004	2.0	8.0	31.0	50.0	9.0
http://purl.obolibrary.org/obo/DOID_0111513	1.0	2.0	17.0	58.0	22.0
http://purl.obolibrary.org/obo/DOID_0080452	2.0	2.0	16.0	55.0	26.0
http://purl.obolibrary.org/obo/DOID_0090054	1.0	2.0	14.0	58.0	25.0
http://purl.obolibrary.org/obo/DOID_0080688	3.0	7.0	22.0	56.0	12.0
http://purl.obolibrary.org/obo/DOID_0080296	2.0	2.0	15.0	52.0	30.0
http://purl.obolibrary.org/obo/DOID_6939	2.0	2.0	11.0	50.0	35.0
http://purl.obolibrary.org/obo/DOID_12799	1.0	5.0	33.0	53.0	8.0
http://purl.obolibrary.org/obo/DOID_0080348	1.0	2.0	20.0	66.0	12.0
http://purl.obolibrary.org/obo/DOID_6865	2.0	4.0	21.0	60.0	14.0
http://purl.obolibrary.org/obo/DOID_10264	3.0	3.0	12.0	54.0	28.0
http://purl.obolibrary.org/obo/DOID_10264	1.0	1.0	14.0	46.0	39.0
http://purl.obolibrary.org/obo/DOID_0080684	3.0	4.0	13.0	61.0	19.0
http://purl.obolibrary.org/obo/DOID_0070318	1.0	1.0	17.0	45.0	35.0
http://purl.obolibrary.org/obo/DOID_2226	1.0	2.0	13.0	65.0	20.0
http://purl.obolibrary.org/obo/DOID_0050868	3.0	3.0	10.0	57.0	28.0
http://purl.obolibrary.org/obo/DOID_13080	2.0	1.0	10.0	40.0	47.0
http://purl.obolibrary.org/obo/DOID_7827	1.0	1.0	16.0	61.0	21.0
http://purl.obolibrary.org/obo/DOID_0111405	1.0	3.0	23.0	59.0	13.0
http://purl.obolibrary.org/obo/DOID_0111166	1.0	3.0	18.0	63.0	15.0
http://purl.obolibrary.org/obo/DOID_0060286	1.0	1.0	16.0	54.0	28.0
http://purl.obolibrary.org/obo/DOID_0111916	2.0	1.0	11.0	31.0	55.0
http://purl.obolibrary.org/obo/DOID_0111674	1.0	1.0	13.0	53.0	31.0
http://purl.obolibrary.org/obo/DOID_10584	1.0	4.0	27.0	58.0	10.0
http://purl.obolibrary.org/obo/DOID_745	3.0	10.0	26.0	51.0	10.0
http://purl.obolibrary.org/obo/DOID_0111090	2.0	5.0	25.0	57.0	11.0
http://purl.obolibrary.org/obo/DOID_0111049	1.0	1.0	15.0	53.0	30.0
http://purl.obolibrary.org/obo/DOID_0110212	1.0	2.0	17.0	63.0	17.0
http://purl.obolibrary.org/obo/DOID_5102	4.0	29.0	44.0	19.0	3.0
http://purl.obolibrary.org/obo/DOID_0060904	1.0	3.0	24.0	61.0	11.0
http://purl.obolibrary.org/obo/DOID_2763	4.0	15.0	27.0	44.0	9.0
http://purl.obolibrary.org/obo/DOID_5254	7.0	27.0	29.0	30.0	7.0
http://purl.obolibrary.org/obo/DOID_0060728	2.0	1.0	7.0	39.0	51.0
http://purl.obolibrary.org/obo/DOID_6680	2.0	3.0	19.0	61.0	14.0
http://purl.obolibrary.org/obo/DOID_0110173	1.0	3.0	23.0	63.0	10.0
http://purl.obolibrary.org/obo/DOID_2048	2.0	3.0	11.0	58.0	26.0
http://purl.obolibrary.org/obo/DOID_0060501	5.0	17.0	33.0	37.0	8.0
http://purl.obolibrary.org/obo/DOID_0111484	2.0	6.0	30.0	52.0	11.0
http://purl.obolibrary.org/obo/DOID_13374	2.0	1.0	10.0	46.0	41.0
http://purl.obolibrary.org/obo/DOID_0111185	4.0	3.0	8.0	57.0	28.0
http://purl.obolibrary.org/obo/DOID_0070325	11.0	15.0	11.0	41.0	22.0
http://purl.obolibrary.org/obo/DOID_9828	0.0	0.0	9.0	68.0	22.0
http://purl.obolibrary.org/obo/DOID_0111250	1.0	1.0	13.0	67.0	18.0
http://purl.obolibrary.org/obo/DOID_4159	3.0	10.0	29.0	49.0	9.0
http://purl.obolibrary.org/obo/DOID_3783	1.0	1.0	8.0	58.0	32.0
http://purl.obolibrary.org/obo/DOID_0112067	1.0	3.0	13.0	68.0	15.0
http://purl.obolibrary.org/obo/DOID_9095	3.0	10.0	27.0	50.0	10.0
http://purl.obolibrary.org/obo/DOID_5340	1.0	4.0	33.0	53.0	8.0
http://purl.obolibrary.org/obo/DOID_3252	5.0	14.0	25.0	46.0	10.0
http://purl.obolibrary.org/obo/DOID_9270	1.0	1.0	14.0	50.0	34.0
http://purl.obolibrary.org/obo/DOID_8307	0.0	0.0	7.0	66.0	26.0
http://purl.obolibrary.org/obo/DOID_8778	3.0	7.0	15.0	60.0	15.0
http://purl.obolibrary.org/obo/DOID_0110143	1.0	2.0	10.0	62.0	24.0
http://purl.obolibrary.org/obo/DOID_14699	1.0	0.0	7.0	52.0	39.0
http://purl.obolibrary.org/obo/DOID_2345	3.0	8.0	22.0	57.0	10.0
http://purl.obolibrary.org/obo/DOID_8361	20.0	60.0	15.0	3.0	1.0
http://purl.obolibrary.org/obo/DOID_0112191	2.0	5.0	26.0	57.0	11.0
http://purl.obolibrary.org/obo/DOID_865	2.0	5.0	24.0	57.0	12.0
http://purl.obolibrary.org/obo/DOID_0110608	2.0	1.0	10.0	47.0	40.0
http://purl.obolibrary.org/obo/DOID_14039	1.0	3.0	20.0	55.0	21.0
http://purl.obolibrary.org/obo/DOID_14464	1.0	1.0	12.0	52.0	34.0
http://purl.obolibrary.org/obo/DOID_0070310	2.0	3.0	16.0	61.0	19.0
http://purl.obolibrary.org/obo/DOID_0060610	3.0	5.0	14.0	60.0	17.0
http://purl.obolibrary.org/obo/DOID_0080030	2.0	3.0	19.0	58.0	18.0
http://purl.obolibrary.org/obo/DOID_0050549	1.0	2.0	16.0	55.0	26.0
http://purl.obolibrary.org/obo/DOID_0110869	2.0	3.0	19.0	58.0	18.0
http://purl.obolibrary.org/obo/DOID_0111854	1.0	2.0	18.0	61.0	19.0
http://purl.obolibrary.org/obo/DOID_0060196	1.0	1.0	13.0	64.0	22.0
http://purl.obolibrary.org/obo/DOID_0111514	1.0	2.0	16.0	55.0	27.0
http://purl.obolibrary.org/obo/DOID_0060031	1.0	2.0	13.0	62.0	22.0
http://purl.obolibrary.org/obo/DOID_0070085	2.0	3.0	17.0	63.0	15.0
http://purl.obolibrary.org/obo/DOID_0110525	1.0	3.0	25.0	57.0	13.0
http://purl.obolibrary.org/obo/DOID_0112297	1.0	2.0	17.0	63.0	17.0
http://purl.obolibrary.org/obo/DOID_3429	1.0	2.0	15.0	58.0	23.0
http://purl.obolibrary.org/obo/DOID_5746	1.0	2.0	14.0	62.0	22.0
http://purl.obolibrary.org/obo/DOID_0060428	1.0	1.0	14.0	46.0	38.0
http://purl.obolibrary.org/obo/DOID_1575	1.0	1.0	24.0	63.0	11.0
http://purl.obolibrary.org/obo/DOID_0080780	6.0	16.0	22.0	45.0	11.0
http://purl.obolibrary.org/obo/DOID_0070166	1.0	2.0	20.0	66.0	11.0
http://purl.obolibrary.org/obo/DOID_0080181	2.0	2.0	14.0	53.0	30.0
http://purl.obolibrary.org/obo/DOID_0080293	1.0	3.0	18.0	62.0	15.0
http://purl.obolibrary.org/obo/DOID_0111157	2.0	3.0	22.0	58.0	16.0
http://purl.obolibrary.org/obo/DOID_8310	1.0	3.0	17.0	61.0	17.0
http://purl.obolibrary.org/obo/DOID_10882	1.0	1.0	4.0	38.0	56.0
http://purl.obolibrary.org/obo/DOID_0060842	1.0	1.0	17.0	63.0	18.0
http://purl.obolibrary.org/obo/DOID_4008	5.0	11.0	15.0	55.0	15.0
http://purl.obolibrary.org/obo/DOID_0040104	3.0	7.0	16.0	60.0	14.0
http://purl.obolibrary.org/obo/DOID_0070266	11.0	28.0	17.0	34.0	10.0
http://purl.obolibrary.org/obo/DOID_0070044	5.0	10.0	17.0	55.0	14.0
http://purl.obolibrary.org/obo/DOID_0050331	1.0	1.0	13.0	64.0	21.0
http://purl.obolibrary.org/obo/DOID_0112170	1.0	0.0	6.0	43.0	49.0
http://purl.obolibrary.org/obo/DOID_0040057	3.0	5.0	20.0	58.0	14.0
http://purl.obolibrary.org/obo/DOID_0112053	2.0	3.0	21.0	59.0	16.0
http://purl.obolibrary.org/obo/DOID_0060519	2.0	7.0	25.0	56.0	10.0
http://purl.obolibrary.org/obo/DOID_0110254	2.0	13.0	50.0	30.0	4.0
http://purl.obolibrary.org/obo/DOID_3608	3.0	7.0	25.0	54.0	11.0
http://purl.obolibrary.org/obo/DOID_8409	3.0	12.0	35.0	43.0	7.0
http://purl.obolibrary.org/obo/DOID_8409	1.0	2.0	36.0	51.0	10.0
http://purl.obolibrary.org/obo/DOID_0110706	3.0	5.0	17.0	61.0	14.0
http://purl.obolibrary.org/obo/DOID_0112149	1.0	1.0	14.0	59.0	25.0
http://purl.obolibrary.org/obo/DOID_0060830	2.0	2.0	18.0	54.0	25.0
http://purl.obolibrary.org/obo/DOID_0110550	1.0	2.0	20.0	58.0	18.0
http://purl.obolibrary.org/obo/DOID_10040	4.0	19.0	36.0	35.0	6.0
http://purl.obolibrary.org/obo/DOID_0050788	2.0	5.0	23.0	51.0	19.0
http://purl.obolibrary.org/obo/DOID_0111241	2.0	6.0	22.0	58.0	11.0
http://purl.obolibrary.org/obo/DOID_0080747	4.0	7.0	19.0	54.0	16.0
http://purl.obolibrary.org/obo/DOID_5043	1.0	1.0	12.0	58.0	27.0
http://purl.obolibrary.org/obo/DOID_5043	0.0	1.0	35.0	55.0	8.0
http://purl.obolibrary.org/obo/DOID_3891	1.0	4.0	18.0	66.0	11.0
http://purl.obolibrary.org/obo/DOID_0070241	3.0	10.0	23.0	53.0	11.0
http://purl.obolibrary.org/obo/DOID_0110091	1.0	2.0	17.0	62.0	18.0
http://purl.obolibrary.org/obo/DOID_0111037	1.0	2.0	19.0	60.0	18.0
http://purl.obolibrary.org/obo/DOID_9790	3.0	6.0	20.0	57.0	16.0
http://purl.obolibrary.org/obo/DOID_9790	2.0	4.0	21.0	59.0	14.0
http://purl.obolibrary.org/obo/DOID_0112247	6.0	25.0	37.0	27.0	6.0
http://purl.obolibrary.org/obo/DOID_11430	2.0	10.0	33.0	48.0	7.0
http://purl.obolibrary.org/obo/DOID_0060580	2.0	6.0	21.0	58.0	13.0
http://purl.obolibrary.org/obo/DOID_0110698	2.0	5.0	24.0	58.0	11.0
http://purl.obolibrary.org/obo/DOID_0111224	2.0	5.0	23.0	57.0	12.0
http://purl.obolibrary.org/obo/DOID_0050751	1.0	2.0	11.0	64.0	22.0
http://purl.obolibrary.org/obo/DOID_0111297	1.0	2.0	20.0	59.0	17.0
http://purl.obolibrary.org/obo/DOID_438	4.0	17.0	34.0	37.0	7.0
http://purl.obolibrary.org/obo/DOID_0070061	2.0	4.0	20.0	62.0	14.0
http://purl.obolibrary.org/obo/DOID_0110348	1.0	3.0	20.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_0112040	1.0	2.0	18.0	58.0	21.0
http://purl.obolibrary.org/obo/DOID_3382	1.0	2.0	23.0	60.0	13.0
http://purl.obolibrary.org/obo/DOID_0110747	2.0	10.0	35.0	46.0	7.0
http://purl.obolibrary.org/obo/DOID_6961	3.0	10.0	25.0	52.0	10.0
http://purl.obolibrary.org/obo/DOID_0112042	1.0	1.0	14.0	41.0	42.0
http://purl.obolibrary.org/obo/DOID_7429	2.0	1.0	10.0	50.0	36.0
http://purl.obolibrary.org/obo/DOID_11603	1.0	2.0	13.0	57.0	26.0
http://purl.obolibrary.org/obo/DOID_0111363	1.0	1.0	13.0	52.0	33.0
http://purl.obolibrary.org/obo/DOID_0050779	1.0	3.0	24.0	59.0	13.0
http://purl.obolibrary.org/obo/DOID_0110489	1.0	3.0	24.0	57.0	15.0
http://purl.obolibrary.org/obo/DOID_0111390	1.0	1.0	13.0	48.0	37.0
http://purl.obolibrary.org/obo/DOID_0060435	3.0	7.0	23.0	54.0	13.0
http://purl.obolibrary.org/obo/DOID_0110749	1.0	6.0	30.0	55.0	8.0
http://purl.obolibrary.org/obo/DOID_0070297	1.0	3.0	27.0	59.0	10.0
http://purl.obolibrary.org/obo/DOID_0050558	3.0	4.0	19.0	55.0	19.0
http://purl.obolibrary.org/obo/DOID_0111160	1.0	1.0	13.0	59.0	26.0
http://purl.obolibrary.org/obo/DOID_0060152	6.0	14.0	23.0	44.0	12.0
http://purl.obolibrary.org/obo/DOID_0060710	6.0	19.0	29.0	37.0	9.0
http://purl.obolibrary.org/obo/DOID_0080779	2.0	3.0	12.0	65.0	19.0
http://purl.obolibrary.org/obo/DOID_0050730	1.0	1.0	12.0	70.0	16.0
http://purl.obolibrary.org/obo/DOID_0111425	2.0	3.0	13.0	67.0	16.0
http://purl.obolibrary.org/obo/DOID_0111712	1.0	2.0	13.0	51.0	33.0
http://purl.obolibrary.org/obo/DOID_0111941	1.0	1.0	18.0	63.0	17.0
http://purl.obolibrary.org/obo/DOID_10604	9.0	29.0	21.0	32.0	8.0
http://purl.obolibrary.org/obo/DOID_10205	4.0	6.0	12.0	60.0	19.0
http://purl.obolibrary.org/obo/DOID_14753	2.0	7.0	29.0	50.0	11.0
http://purl.obolibrary.org/obo/DOID_0111970	1.0	1.0	12.0	61.0	26.0
http://purl.obolibrary.org/obo/DOID_754	1.0	2.0	18.0	58.0	21.0
http://purl.obolibrary.org/obo/DOID_5844	1.0	2.0	20.0	61.0	16.0
http://purl.obolibrary.org/obo/DOID_1628	2.0	5.0	22.0	58.0	13.0
http://purl.obolibrary.org/obo/DOID_0050883	1.0	1.0	7.0	53.0	38.0
http://purl.obolibrary.org/obo/DOID_7461	2.0	6.0	29.0	53.0	10.0
http://purl.obolibrary.org/obo/DOID_0060518	2.0	9.0	37.0	45.0	7.0
http://purl.obolibrary.org/obo/DOID_6043	2.0	3.0	12.0	61.0	23.0
http://purl.obolibrary.org/obo/DOID_8336	7.0	54.0	28.0	9.0	2.0
http://purl.obolibrary.org/obo/DOID_0111630	1.0	1.0	16.0	68.0	14.0
http://purl.obolibrary.org/obo/DOID_0080483	1.0	3.0	19.0	62.0	14.0
http://purl.obolibrary.org/obo/DOID_10124	4.0	18.0	27.0	42.0	8.0
http://purl.obolibrary.org/obo/DOID_14499	1.0	1.0	14.0	54.0	30.0
http://purl.obolibrary.org/obo/DOID_5479	1.0	3.0	20.0	62.0	15.0
http://purl.obolibrary.org/obo/DOID_0112015	1.0	2.0	22.0	59.0	16.0
http://purl.obolibrary.org/obo/DOID_0080492	1.0	1.0	12.0	50.0	35.0
http://purl.obolibrary.org/obo/DOID_60000	4.0	13.0	33.0	42.0	9.0
http://purl.obolibrary.org/obo/DOID_0080330	2.0	2.0	11.0	66.0	19.0
http://purl.obolibrary.org/obo/DOID_0110329	2.0	4.0	21.0	54.0	19.0
http://purl.obolibrary.org/obo/DOID_0050587	1.0	5.0	44.0	45.0	6.0
http://purl.obolibrary.org/obo/DOID_0050782	1.0	1.0	8.0	63.0	28.0
http://purl.obolibrary.org/obo/DOID_0070008	3.0	4.0	13.0	62.0	18.0
http://purl.obolibrary.org/obo/DOID_0110855	1.0	2.0	20.0	62.0	14.0
http://purl.obolibrary.org/obo/DOID_6217	2.0	3.0	14.0	62.0	19.0
http://purl.obolibrary.org/obo/DOID_0080800	1.0	1.0	11.0	68.0	19.0
http://purl.obolibrary.org/obo/DOID_0110134	2.0	5.0	26.0	56.0	11.0
http://purl.obolibrary.org/obo/DOID_0070284	1.0	3.0	24.0	62.0	10.0
http://purl.obolibrary.org/obo/DOID_268	26.0	27.0	6.0	27.0	15.0
http://purl.obolibrary.org/obo/DOID_11838	3.0	9.0	28.0	50.0	9.0
http://purl.obolibrary.org/obo/DOID_0111733	1.0	1.0	12.0	59.0	27.0
http://purl.obolibrary.org/obo/DOID_0111317	3.0	8.0	24.0	54.0	11.0
http://purl.obolibrary.org/obo/DOID_0080872	2.0	1.0	6.0	37.0	55.0
http://purl.obolibrary.org/obo/DOID_5401	3.0	5.0	19.0	58.0	15.0
http://purl.obolibrary.org/obo/DOID_0050657	2.0	1.0	8.0	43.0	47.0
http://purl.obolibrary.org/obo/DOID_0050485	3.0	2.0	8.0	50.0	36.0
http://purl.obolibrary.org/obo/DOID_0050485	1.0	1.0	14.0	55.0	29.0
http://purl.obolibrary.org/obo/DOID_11265	2.0	1.0	6.0	42.0	50.0
http://purl.obolibrary.org/obo/DOID_11265	1.0	3.0	20.0	62.0	13.0
http://purl.obolibrary.org/obo/DOID_0110426	2.0	5.0	27.0	57.0	10.0
http://purl.obolibrary.org/obo/DOID_3604	8.0	28.0	29.0	27.0	7.0
http://purl.obolibrary.org/obo/DOID_0110219	3.0	5.0	14.0	61.0	17.0
http://purl.obolibrary.org/obo/DOID_0111555	3.0	11.0	34.0	43.0	9.0
http://purl.obolibrary.org/obo/DOID_0110055	1.0	4.0	33.0	55.0	8.0
http://purl.obolibrary.org/obo/DOID_0080158	5.0	15.0	23.0	48.0	10.0
http://purl.obolibrary.org/obo/DOID_0080346	3.0	5.0	14.0	61.0	17.0
http://purl.obolibrary.org/obo/DOID_9746	1.0	3.0	24.0	58.0	14.0
http://purl.obolibrary.org/obo/DOID_0050926	2.0	4.0	17.0	61.0	15.0
http://purl.obolibrary.org/obo/DOID_8869	1.0	2.0	26.0	63.0	9.0
http://purl.obolibrary.org/obo/DOID_3449	4.0	14.0	37.0	38.0	7.0
http://purl.obolibrary.org/obo/DOID_2098	2.0	7.0	27.0	54.0	10.0
http://purl.obolibrary.org/obo/DOID_0111182	2.0	8.0	26.0	53.0	10.0
http://purl.obolibrary.org/obo/DOID_0110758	2.0	10.0	35.0	46.0	7.0
http://purl.obolibrary.org/obo/DOID_5621	3.0	10.0	28.0	49.0	9.0
http://purl.obolibrary.org/obo/DOID_53	3.0	9.0	27.0	50.0	11.0
